text,positive,negative,ade,meddra,positive_ade,positive_meddra,negative_ade,negative_meddra
"no med orders til effexor is fully exited. still having brain shivers, but mostly when i don't eat. #effexor #withdrawal #depression",i better go to bed.. effexor withdrawal makes me feel kinda terrible ugh.,"as are (probably) the nausea, headache, sweats, flu symptoms &amp; diarrhea. but it?s still better than being on it.  #venlafaxine #withdrawal",withdrawal,withdrawal syndrome,withdrawal,withdrawal syndrome,diarrhea,diarrhea
"heaviness in the legs, foot and leg cramps at night and even long muscles beside spine, those are the worst.",influenza-like symptoms,"muscle weakness in arms and legs, blurry eyesight, hair loss, but worst of all, burning feet and painful heels.",coming down with the flu,influenza-like symptoms,coming down with the flu,influenza-like symptoms,painful heels,pain in heel
cymbalta withdrawals. need to get script. head is spinning. blood pressure low.  i hate depending on drugs to live.,head spinning,"my medication is making me stupid, brain meds are not ok , fuck u paxil",head is spinning,head spinning,head is spinning,head spinning,making me stupid,memory impairment
"lethargy, fuzzy thinking, blurry vision, dull muscle pains constantly.","pain under ribs , restless legs .","muscle twitching, stiff neck, constant lightheadedness, always worrying about a brain tumor or something.",blurry vision,blurred vision,blurred vision,blurred vision,muscle twitching,muscle twitch
"malaise, exhaustion, severe muscle pain, severe depression and anxiety.",i was on 10 mgs. and then cut it in half for over two years.,"severe depression, anxiety, sore joints, sore back, lack of energy.",severe muscle pain,myalgia,muscle aches,myalgia,severe depression,depression
"muscle weariness in legs, especially after waking up.",pain in shoulder and arms and hands.,muscle aches in legs.,soreness in shoulder,shoulder pain,pain in shoulder,shoulder pain,muscle aches in legs,myalgia
"rt @csestrich21: all nighter is killing me right now, i hate you vyvanse","memory loss, transient amnesia, severe shoulder and knee pain, insomnia, extreme tiredness,hard to get up in the am and hard to stay awake, crippling back pain, depression, loss of balance.",rt @ho0driiich: i hate how vyvanse makes me over think everything and it makes me angry about things that i shouldn't even be angry about,all nighter,insomnia,insomnia,insomnia,angry,anger
for as long as i could remember i've always had perfect cholesterol (from a percentage perspective anyway).,"extreme fatigue, general muscle aches, dark urine, burning back pain.",after a routine check up my cholesterol level was found to be sky high.,was incredibly week,asthenia,extreme fatigue,asthenia,pain around the hipjoints,pain in hip
"alopecia, nausea, vomiting, severe back and hip pain, depression, dark thoughts, overwhelming exhaustion and muscle fatigue, sleeplessness, facial paralysis, loss of quality of life.",alopecia,"muscle pain, depression, dizziness (fainting spells), hair loss, panic attacks.",alopecia,alopecia,alopecia,alopecia,dizziness (fainting spells),dizziness
cramps in calves several times a day.,i experienced severe pain in my left shoulder and neck.,severe pain in both calfs and thighs.,neck and shoulders ache,neck pain,pain in neck,neck pain,myalgia,myalgia
after a few months i started having pain in different areas of my body and headaches almost everyday.,no side effects.,"for about 15 months i experienced severe fatigue, and initially for about three months very bad headaches which diminished in intensity but never completely went away.",stomache aches,stomach ache,stomach pains,stomach ache,headaches,headache
"memory problems, depression, muscle aches, joint pain, exercise intolerance, transient global amnesia.","constant stomach discomfort and pain, distension, gas, muscle aches, leg cramps.","muscle spasms and pain, joint pain, headaches, memory loss, skin rash, depression, insomnia.",muscle aches,myalgia,muscle aches,myalgia,skin rash,rash
"pain under ribs , restless legs .","migrane headaches, very very blurry vision, at times felt like i'm going blind, severe muscle pain and dizziness.",cramping aching muscles in legs and back.,blurred vision,blurred vision,very very blurry vision,blurred vision,unable to concentrate,concentration ability impaired
constipation right from the start and in ladt 4 weeks extreme joint pain at night (just few hours after taking tablets).,@thebeachynurse ...had to get an x-ray of my arm per protocol...it was negative but it's just now starting to hurt. ugh!!!!  #geodon,"experienced excruciating, unusual abdominal pain (bowel, uterine) and lower back pain for about 5 hours after taking (including diarrhea 6 times), and heart palpitations and vaginal bleeding for about a day after taking.",pain,pain,hurt,pain,lower back pain,low back pain
"severe muscle pain in hips, legs and ankles.","for the first week i took one pill at bedtime, but then switched to mornings with breakfast.","severe leg pain and weakness, muscle cramps in legs, feet, arms, ribs, face.",severe muscle pain in hips,pain,excruciating pain,pain,muscle cramps in face,facial spasm
"muscle twitching, stiff neck, constant lightheadedness, always worrying about a brain tumor or something.",tired-weak-pains all over body-groggy-light headed.,"lethargy, fuzzy thinking, blurry vision, dull muscle pains constantly.",light head,lightheadedness,light headed,lightheadedness,blurry vision,blurred vision
pain in shoulder and arms and hands.,"severe elbow, arm and shoulder pain.","joint pain, back and shoulder pain, arm pain, numbness and tingling in the hands.",pain in shoulder,shoulder pain,pain in my shoulder,shoulder pain,arm pain,pain
"insommnia, loss of dreaming, inability to visualize; muscle pain, weakness, atrophy; tendinitis, tendinopathy, tendon contracture; miniscus damage; working memory and short-term memory loss, language and learning ability loss including spoken and written aphasia and inability to read; gall bladder disease, pancreatitis, acid reflux; inability to walk.","muscle wasting in the shoulders and arms,nerve problems in shoulder , fatigue and very sensative to the cold.","kidney failure, difficulty swallowing, persistent pain in calf and knee, short term memory loss, peripheral neuropathy, constipation, sleep disturbance, mood change, rage.",atrophy,muscle atrophy,muscle wasting in the shoulders,muscle atrophy,leg pain,pain of lower extremities
this seroquel got me lo0o0py as helll.  this status took me at least thirty minutes to type i keep waking up without knowing i feel asleep,fuzzy,so last night i kept waking up with period pain. took what i thought was ibuprofen 3 times. turned out to be seroquel. i just woke up.,lo0o0py,fuzzy,lo0o0py,fuzzy,just woke up,somnolence
developing add in my 20s thanks to the memory/attention-killing lamictal i've been on since my early teens. #bipolar #morepillsmoreproblems,attention impaired,@ybnormal622 i am on only 25mg lamictal but it makes me anxious and insomniac so i skip sometimes and get depressed.,attention-killing,attention impaired,attention-killing,attention impaired,anxious,feeling anxious
"depression, general malaise, nausea, taste loss, insomnia, hair loss, bronchitis and/or flu 3 times during winter and 1-2 times during summer, abdominal pain, muscle spasmns in legs and left arm, back pain.","i was a vibrant healthy woman until easter saturday, 2006.","alopecia, nausea, vomiting, severe back and hip pain, depression, dark thoughts, overwhelming exhaustion and muscle fatigue, sleeplessness, facial paralysis, loss of quality of life.",felt like i had lead in my legs,sensation of heaviness,feet felt like led,sensation of heaviness,facial paralysis,facial palsy
@inkyworld why i came off it. gp told me its not dangerous but it is damn unpleasant. at least i know it's the quetiapine that's causing it,"@notquitereal yeah, i mean, fluoxetine made me feel like shit, and citalopram makes me feel ace, so worth considering if you ever have to",@inkyworld olanzapine is another anti-psychotic medication. it works on my bipolar but makes me binge eat,not dangerous but it is damn unpleasant,feeling unwell,feel like shit,feeling unwell,binge eat,binge eating
i started taking lipitor in dec 2009.,"jaw,neck, low back and hip pains.",i started taking lipitor in december 2009 and stopped after 4 months.,muscle aches in my lower back,low back pain,low back pains,low back pain,extreme pain in neck,neck pain
"@johncheese i hated effexor. it makes you hungry, dizzy, and lethargic. that culminated in a large weight gain for me.",does anyone know if the #weight gain is less in #olanzapine combined with #prozac(#symbyax) than in olanzapine alone?,i used to be on paxil but that made me more depressed and prozac made me angry,weight gain,weight gain,weight gain,weight gain,angry,anger
