,ade,definition
2118,aches in calf muscles, a dull persistent (usually moderately intense) pain a unit of length equal to one twelfth of a foot young of domestic cattle one of the contractile organs of the body
2119,lost a lot of muscle and replacedit with fat, people who are destined to die soon a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation (often followed by `of') a large number or amount or extent  one of the contractile organs of the body    a soft greasy substance occurring in organic tissue and consisting of a mixture of lipids (mostly triglycerides)
2120,cant sleep, stock phrases that have become nonsense through endless repetition a natural and periodic state of rest during which consciousness of the world is suspended
2121,intense chills and shivers, possessing or displaying a distinctive feature to a heightened degree coldness due to a cold environment  a reflex motion caused by cold or fear or excitement
2122,hair dryness, a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss the condition of not containing or being covered by a liquid (especially water)
2123,gained 40lbs, obtain 
2124,gained over 30lbs, obtain (cricket) the division of play during which six balls are bowled at the batsman by one player from the other team from the same end of the pitch 
2125,loss of muscel strength, something that is lost   the property of being physically or mentally strong
2126,tender joints, something that can be used as an official medium of payment (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion)
2127,shooting pains down arms, the act of firing a projectile an effortful attempt to attain a goal soft fine feathers weapons considered collectively
2128,buzzing left leg, make a buzzing sound location near or direction toward the left side; i.e. the side to the north when a person or object faces east a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle
